,name,medal_type,count
549,FERNANDEZ Daniel,Bronze Medal,1
550,FERRAND PREVOT Pauline,Gold Medal,1
551,FERRE GASET Txell,Bronze Medal,1
552,FETTER Dieuwke,Silver Medal,1
553,FIAMINGO Rossella,Gold Medal,1
554,FIELD Megumi,Silver Medal,1
555,FIELDMAN Henry,Bronze Medal,1
556,FIGUERAS Adrian,Bronze Medal,1
557,FILIPOVIC Radoslav,Gold Medal,1
558,FILMER Caileigh,Silver Medal,1
559,FINK Nic,Gold Medal,1
560,FINK Nic,Silver Medal,2
561,FINKE Bobby,Gold Medal,1
562,FINKE Bobby,Silver Medal,1
563,FINUCANE Emma,Bronze Medal,2
564,FINUCANE Emma,Gold Medal,1
565,FISCHER Justus,Silver Medal,1
566,FISHER Grant,Bronze Medal,2
567,FITSIOU Zoi,Bronze Medal,1
568,FITZSIMMONS Riley,Silver Medal,1
569,FLEETWOOD Tommy,Silver Medal,1
570,FLIPPES Laura,Silver Medal,1
571,FLORIJN Finn,Gold Medal,1
572,FLORIJN Karolien,Gold Medal,1
573,FOCONI Alessio,Silver Medal,1
574,FOJT Sara,Bronze Medal,2
575,FOKKE Luna Noa,Gold Medal,1
576,FOPPA Pauletta,Silver Medal,1
577,FORCA ARIZA Judith,Gold Medal,1
578,FORD Emily,Bronze Medal,1
579,FORD Tom,Gold Medal,1
580,FORNAL Tomasz,Silver Medal,1
581,FORNER Theo,Gold Medal,1
582,FOSTER Carson,Bronze Medal,1
583,FOSTER Carson,Silver Medal,1
584,FOURNIER Evan,Silver Medal,1
585,FOX Emily,Gold Medal,1
586,FOX Jessica,Gold Medal,2
587,FOX Noemie,Gold Medal,1
588,FRANCIS Brooke,Gold Medal,1
589,FREIGANG Laura,Bronze Medal,1
590,FRIEDMANN Adar,Silver Medal,1
591,FRIEDRICH Lea,Bronze Medal,1
592,FRIEDRICH Lea,Silver Medal,1
593,FRIGO Manuel,Bronze Medal,1
594,FRIIS Emma,Bronze Medal,1
595,FRITZ Taylor,Bronze Medal,1
596,FROHMS Merle,Bronze Medal,1
597,FRY Charlotte,Bronze Medal,2
598,FUJINAMI Akari,Gold Medal,1
599,FUKSA Martin,Gold Medal,1
600,FUKUSHIMA Shihomi,Bronze Medal,1
601,FULTON Shaane,Silver Medal,1
602,FUMITA Kenichiro,Gold Medal,1
603,FUNAKUBO Haruka,Bronze Medal,1
604,FUNAKUBO Haruka,Silver Medal,1
605,FURLANI Mattia,Bronze Medal,1
606,GABA Joan-Benjamin,Gold Medal,1
607,GABA Joan-Benjamin,Silver Medal,1
608,GABI NUNES,Silver Medal,1
609,GABI PORTILHO,Silver Medal,1
610,GAHIE Marie Eve,Gold Medal,1
611,GANNA Filippo,Bronze Medal,1
612,GANNA Filippo,Silver Medal,1
613,GARCIA Eric,Gold Medal,1
614,GARCIA GODOY Maica,Gold Medal,1
615,GARCIA Joan,Gold Medal,1
616,GARCIA POLO Marina,Bronze Medal,1
617,GARCIANDIA Imanol,Bronze Medal,1
618,GARNBRET Janja,Gold Medal,1
619,GARRIGOS Francisco,Bronze Medal,1
620,GAUZY Simon,Bronze Medal,1
621,GAZOZ Mete,Bronze Medal,1
622,GAZSO Alida Dora,Bronze Medal,1
